model,reduction,step,seed,domain,score_pct,status,responses,question_clusters,samples_per_question,binomial_se_pct,quartile_offset_pct
M-I64-DR,DR,50,42,Math,69.6,measured,500,500,1,2.0571047615520217,1.4
M-I64-DR,DR,50,43,Math,71.0,estimated_q25_or_q75,500,500,1,2.0571047615520217,1.4
M-I64-DR,DR,50,44,Math,68.2,estimated_q75_or_q25,500,500,1,2.0571047615520217,1.4
M-I64-DR,DR,50,42,Code,17.1875,measured,128,128,1,3.3346427888601315,2.34375
M-I64-DR,DR,50,43,Code,19.53125,estimated_q25_or_q75,128,128,1,3.3346427888601315,2.34375
M-I64-DR,DR,50,44,Code,14.84375,estimated_q75_or_q25,128,128,1,3.3346427888601315,2.34375
M-I64-DR,DR,50,42,IF,19.0,measured,300,300,1,2.264950330581225,1.6666666666666667
M-I64-DR,DR,50,43,IF,17.333333333333336,estimated_q25_or_q75,300,300,1,2.264950330581225,1.6666666666666667
M-I64-DR,DR,50,44,IF,20.666666666666668,estimated_q75_or_q25,300,300,1,2.264950330581225,1.6666666666666667
M-I64-DR,DR,50,42,GPQA,31.691919191919194,measured,792,198,4,1.6532849826159473,1.1363636363636365
M-I64-DR,DR,50,43,GPQA,32.82828282828283,estimated_q25_or_q75,792,198,4,1.6532849826159473,1.1363636363636365
M-I64-DR,DR,50,44,GPQA,30.555555555555557,estimated_q75_or_q25,792,198,4,1.6532849826159473,1.1363636363636365
M-I64-DR,DR,100,42,Math,71.6,measured,500,500,1,2.016650688641937,1.4
M-I64-DR,DR,100,43,Math,73.0,estimated_q25_or_q75,500,500,1,2.016650688641937,1.4
M-I64-DR,DR,100,44,Math,70.19999999999999,estimated_q75_or_q25,500,500,1,2.016650688641937,1.4
M-I64-DR,DR,100,42,Code,17.96875,measured,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,100,43,Code,20.3125,estimated_q25_or_q75,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,100,44,Code,15.625,estimated_q75_or_q25,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,100,42,IF,19.0,measured,300,300,1,2.264950330581225,1.6666666666666667
M-I64-DR,DR,100,43,IF,17.333333333333336,estimated_q25_or_q75,300,300,1,2.264950330581225,1.6666666666666667
M-I64-DR,DR,100,44,IF,20.666666666666668,estimated_q75_or_q25,300,300,1,2.264950330581225,1.6666666666666667
M-I64-DR,DR,100,42,GPQA,32.70202020202021,measured,792,198,4,1.6669620552284832,1.1363636363636365
M-I64-DR,DR,100,43,GPQA,33.83838383838384,estimated_q25_or_q75,792,198,4,1.6669620552284832,1.1363636363636365
M-I64-DR,DR,100,44,GPQA,31.565656565656564,estimated_q75_or_q25,792,198,4,1.6669620552284832,1.1363636363636365
M-I64-DR,DR,250,42,Math,74.8,measured,500,500,1,1.9416281827373643,1.4
M-I64-DR,DR,250,43,Math,76.2,estimated_q25_or_q75,500,500,1,1.9416281827373643,1.4
M-I64-DR,DR,250,44,Math,73.4,estimated_q75_or_q25,500,500,1,1.9416281827373643,1.4
M-I64-DR,DR,250,42,Code,17.96875,measured,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,250,43,Code,20.3125,estimated_q25_or_q75,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,250,44,Code,15.625,estimated_q75_or_q25,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,250,42,IF,26.0,measured,300,300,1,2.5324559884296773,1.6666666666666667
M-I64-DR,DR,250,43,IF,24.333333333333336,estimated_q25_or_q75,300,300,1,2.5324559884296773,1.6666666666666667
M-I64-DR,DR,250,44,IF,27.666666666666668,estimated_q75_or_q25,300,300,1,2.5324559884296773,1.6666666666666667
M-I64-DR,DR,250,42,GPQA,33.964646464646464,measured,792,198,4,1.6828259950276165,1.1363636363636365
M-I64-DR,DR,250,43,GPQA,35.1010101010101,estimated_q25_or_q75,792,198,4,1.6828259950276165,1.1363636363636365
M-I64-DR,DR,250,44,GPQA,32.82828282828283,estimated_q75_or_q25,792,198,4,1.6828259950276165,1.1363636363636365
M-I64-DR,DR,500,42,Math,75.8,measured,500,500,1,1.9153902996517445,1.2
M-I64-DR,DR,500,43,Math,77.0,estimated_q25_or_q75,500,500,1,1.9153902996517445,1.2
M-I64-DR,DR,500,44,Math,74.6,estimated_q75_or_q25,500,500,1,1.9153902996517445,1.2
M-I64-DR,DR,500,42,Code,17.96875,measured,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,500,43,Code,20.3125,estimated_q25_or_q75,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,500,44,Code,15.625,estimated_q75_or_q25,128,128,1,3.3934668659949327,2.34375
M-I64-DR,DR,500,42,IF,27.333333333333332,measured,300,300,1,2.5730800105594738,1.6666666666666667
M-I64-DR,DR,500,43,IF,25.666666666666664,estimated_q25_or_q75,300,300,1,2.5730800105594738,1.6666666666666667
M-I64-DR,DR,500,44,IF,28.999999999999996,estimated_q75_or_q25,300,300,1,2.5730800105594738,1.6666666666666667
M-I64-DR,DR,500,42,GPQA,33.207070707070706,measured,792,198,4,1.673470025566047,1.1363636363636365
M-I64-DR,DR,500,43,GPQA,34.34343434343434,estimated_q25_or_q75,792,198,4,1.673470025566047,1.1363636363636365
M-I64-DR,DR,500,44,GPQA,32.07070707070707,estimated_q75_or_q25,792,198,4,1.673470025566047,1.1363636363636365
M-I64-DT,DT,50,42,Math,72.2,measured,500,500,1,2.0035768016225384,1.4
M-I64-DT,DT,50,43,Math,73.6,estimated_q25_or_q75,500,500,1,2.0035768016225384,1.4
M-I64-DT,DT,50,44,Math,70.8,estimated_q75_or_q25,500,500,1,2.0035768016225384,1.4
M-I64-DT,DT,50,42,Code,18.75,measured,128,128,1,3.4499065884093154,2.34375
M-I64-DT,DT,50,43,Code,21.09375,estimated_q25_or_q75,128,128,1,3.4499065884093154,2.34375
M-I64-DT,DT,50,44,Code,16.40625,estimated_q75_or_q25,128,128,1,3.4499065884093154,2.34375
