reported_run,actual_checkpoint_run,actual_loss_at_checkpoint,step,source,parameters,exact_changed,effective_changed,squared_l2,exact_changed_fraction,effective_changed_fraction,l2,rms
m-itk64-dr-s42,m-tk64-dr-s42,student_topk,1,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-dr-s42-step001-bf16-vs-base/report.json,1720574976,4459624,0,5.884916077608039e-07,0.0025919381963625627,0.0,0.0007671320667009064,1.8494105717209935e-08
m-itk64-dr-s42,m-tk64-dr-s42,student_topk,50,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-dr-s42-step050-bf16-vs-base/report.json,1720574976,85745971,28107037,0.008667245726445571,0.049835649242872634,0.01633583970013522,0.09309804362308356,2.2444180546842147e-06
m-itk64-dr-s42,m-tk64-dr-s42,student_topk,100,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-dr-s42-step100-bf16-vs-base/report.json,1720574976,151548305,114737813,0.05444374839547722,0.08808003551947509,0.0666857385469728,0.23333184179506494,5.625190155206604e-06
m-itk64-dt-s42,m-tk64-dt-s42,student_topk,1,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-dt-s42-step001-bf16-vs-base/report.json,1720574976,4377752,0,5.694688067803123e-07,0.002544354103171613,0.0,0.0007546315702250418,1.819274234918326e-08
m-itk64-dt-s42,m-tk64-dt-s42,student_topk,50,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-dt-s42-step050-bf16-vs-base/report.json,1720574976,89891697,35260543,0.009969404646042594,0.052245149588877896,0.020493464970630842,0.09984690604141219,2.407120385160693e-06
m-itk64-dt-s42,m-tk64-dt-s42,student_topk,100,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-dt-s42-step100-bf16-vs-base/report.json,1720574976,166147809,133146830,0.06984446158939626,0.09656528272093154,0.07738507874242151,0.2642810276758365,6.371316592082214e-06
m-itk64-gt-s42,m-tk64-gt-s42,student_topk,1,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-gt-s42-step001-bf16-vs-base/report.json,1720574976,4378838,0,5.698897422164436e-07,0.002544985287522861,0.0,0.0007549104199946134,1.8199464890635416e-08
m-itk64-gt-s42,m-tk64-gt-s42,student_topk,50,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-gt-s42-step050-bf16-vs-base/report.json,1720574976,90553220,35907824,0.010107515899785145,0.052629627457745846,0.020869665374001114,0.1005361422563306,2.4237365689654573e-06
m-itk64-gt-s42,m-tk64-gt-s42,student_topk,100,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-itk64-gt-s42-step100-bf16-vs-base/report.json,1720574976,167894726,135105056,0.07150651897799987,0.09758059273320502,0.07852320176949965,0.2674070286622995,6.446678573708632e-06
m-pg-s42,m-pg-s42,sampled_reverse_kl,1,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-pg-s42-step001-bf16-vs-base/report.json,1720574976,4389997,0,5.88137624652494e-07,0.0025514709101523048,0.0,0.0007669013135029135,1.8488542693288097e-08
m-pg-s42,m-pg-s42,sampled_reverse_kl,50,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-pg-s42-step050-bf16-vs-base/report.json,1720574976,46865262,3012642,0.0020105299916993924,0.027238139955372685,0.001750950724044472,0.04483893388227905,1.0809820361598444e-06
m-pg-s42,m-pg-s42,sampled_reverse_kl,100,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-pg-s42-step100-bf16-vs-base/report.json,1720574976,79662166,30653224,0.010729495137203069,0.04629973532754669,0.017815686283699617,0.10358327633939307,2.4971972184583463e-06
m-pg-s42,m-pg-s42,sampled_reverse_kl,250,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/m-pg-s42-step250-bf16-vs-base/report.json,1720574976,141790743,101520615,0.07220410647358338,0.08240893014126924,0.05900388905807264,0.2687082180983369,6.478047794254557e-06
s-itk64-s42,s-tk64-s42,student_topk,1,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/s-itk64-s42-step001-bf16-vs-base/report.json,1720574976,4429525,0,5.900277192482308e-07,0.0025744446256551856,0.0,0.0007681326182686364,1.8518227126380976e-08
s-itk64-s42,s-tk64-s42,student_topk,50,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/s-itk64-s42-step050-bf16-vs-base/report.json,1720574976,91534489,35236960,0.010146284514520253,0.05319994204077044,0.02047975850603095,0.10072876706542304,2.4283803894205627e-06
s-itk64-s42,s-tk64-s42,student_topk,100,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/s-itk64-s42-step100-bf16-vs-base/report.json,1720574976,164463326,130649935,0.06570351956218883,0.09558625941564315,0.07593388072151062,0.25632697782751784,6.179559468165615e-06
s-pg-s42,s-pg-s42,sampled_reverse_kl,1,slime_opd_geometry/outputs/mopd_qwen3/bf16_checkpoint_scan_20260907_sn4622122392/s-pg-s42-step001-bf16-vs-base/report.json,1720574976,4386625,0,5.926479328106067e-07,0.0025495111001777116,0.0,0.0007698363026063442,1.8559299739061377e-08
