subject,family,step,dataset,score,responses,prompts,correct_responses,truncation_rate,completed_at_utc,source,checks,verified
initial_student,initial_student,0,gpqa_diamond_avg4,0.18813131313131312,792,198,149.0,0.0012626262626262627,2026-09-06T08:55:23.739419+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/initial_student/capability_eval/step_0/artifacts/gpqa_diamond_avg4/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
initial_student,initial_student,0,ifbench_strict,0.17333333333333334,300,300,52.0,0.6966666666666667,2026-09-06T08:55:23.739419+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/initial_student/capability_eval/step_0/artifacts/ifbench_strict/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
initial_student,initial_student,0,livecodebench_postcutoff_pass1,0.0078125,128,128,1.0,0.7578125,2026-09-06T08:55:23.739419+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/initial_student/capability_eval/step_0/artifacts/livecodebench_postcutoff_pass1/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
initial_student,initial_student,0,math500_pass1,0.556,500,500,278,0.062,2026-09-06T08:55:23.739419+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/initial_student/capability_eval/step_0/artifacts/math500_pass1/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
teacher_code,teacher_code,0,livecodebench_postcutoff_pass1,0.234375,128,128,30.0,0.2421875,2026-09-06T08:00:47.607947+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/teacher_code/capability_eval/step_0/artifacts/livecodebench_postcutoff_pass1/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
teacher_if,teacher_if,0,ifbench_strict,0.29,300,300,87.0,0.07333333333333333,2026-09-06T07:18:02.236485+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/teacher_if/capability_eval/step_0/artifacts/ifbench_strict/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
teacher_math,teacher_math,0,math500_pass1,0.756,500,500,378,0.068,2026-09-06T07:47:27.402943+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/teacher_math/capability_eval/step_0/artifacts/math500_pass1/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
teacher_science,teacher_science,0,gpqa_diamond_avg4,0.34595959595959597,792,198,274.0,0.005050505050505051,2026-09-06T09:23:27.142888+00:00,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/teacher_science/capability_eval/step_0/artifacts/gpqa_diamond_avg4/updates_00000000_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step500-code,M-PG,500,livecodebench_postcutoff_pass1,0.1328125,128,128,17.0,0.4375,2026-09-07T05:09:23.539997+00:00,slime_opd_geometry/outputs/mopd_qwen3/mpg500_code_20260907_cuda1/m-pg-s42-step500-code/capability_eval/step_500/artifacts/livecodebench_postcutoff_pass1/updates_00000500_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step500-gpqa-r3,M-PG,500,gpqa_diamond_avg4,0.24873737373737373,792,198,197.0,0.16161616161616163,2026-09-07T10:23:56.205332+00:00,slime_opd_geometry/outputs/mopd_qwen3/mpg500_noncode_20260907_sn4622122392/m-pg-s42-step500-gpqa-r3/capability_eval/step_500/artifacts/gpqa_diamond_avg4/updates_00000500_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step500-if-r4,M-PG,500,ifbench_strict,0.14666666666666667,300,300,44.0,0.7433333333333333,2026-09-07T12:03:05.483777+00:00,slime_opd_geometry/outputs/mopd_qwen3/mpg500_noncode_20260907_sn4622122392/m-pg-s42-step500-if-r4/capability_eval/step_500/artifacts/ifbench_strict/updates_00000500_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step500-math-r3,M-PG,500,math500_pass1,0.664,500,500,332,0.172,2026-09-07T07:08:13.424404+00:00,slime_opd_geometry/outputs/mopd_qwen3/mpg500_noncode_20260907_sn4622122392/m-pg-s42-step500-math-r3/capability_eval/step_500/artifacts/math500_pass1/updates_00000500_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step100-code_science,M-PG,100,gpqa_diamond_avg4,0.23232323232323232,792,198,184.0,0.005050505050505051,2026-09-07T05:23:42.528195+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg100_capability_20260907_cuda4/m-pg-s42-step100-code_science/capability_eval/step_100/artifacts/gpqa_diamond_avg4/updates_00000100_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
m-pg-s42-step100-code_science,M-PG,100,livecodebench_postcutoff_pass1,0.09375,128,128,12.0,0.296875,2026-09-07T05:23:42.528195+00:00,slime_opd_geometry/outputs/mopd_qwen3/pg100_capability_20260907_cuda4/m-pg-s42-step100-code_science/capability_eval/step_100/artifacts/livecodebench_postcutoff_pass1/updates_00000100_eval_only.jsonl,"{""artifact_sha256"": true, ""counts"": true, ""step"": true, ""rewards"": true, ""terminal_status"": true, ""score_matches"": true}",True
