run_id,source,loss,k,reduction,seed,status,updates,target_updates,allocation_rows,inherited_updates,first_intersection_update,parent_run,new_objective_updates,hf_steps_shards_present,optimizer_snapshot_steps,recent_step_seconds_median,recent_timing_n,markers,allocation_mtime_utc,total_generated_tokens,remaining_updates
m-pg-s42,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/m-pg-s42,sampled_reverse_kl,,domain_response,42,complete,500,500,500,0,,,,"[1, 50, 100, 250, 500]","[0, 1, 50, 100, 250, 500]",148.84462571609765,19,"{""run_complete.json"": ""complete""}",2026-09-07T03:26:26.104671+00:00,45121365,0
m-tk-dr-s42,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/m-tk-dr-s42,teacher_topk,,domain_response,42,stopped_or_paused,444,500,444,0,,,,"[1, 50, 100, 250]","[0, 1, 50, 100, 250]",132.36885680817068,20,"{""run_stopped_by_user.json"": ""stopped_by_user""}",2026-09-06T22:43:26.896631+00:00,16781424,56
m-tk-dt-s42,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/m-tk-dt-s42,teacher_topk,,domain_token,42,stopped_or_paused,439,500,439,0,,,,"[1, 50, 100, 250]","[0, 1, 50, 100, 250]",131.6341045324225,20,"{""run_stopped_by_user.json"": ""stopped_by_user""}",2026-09-06T22:42:31.084577+00:00,27404231,61
m-tk-gt-s42,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/m-tk-gt-s42,teacher_topk,,global_token,42,stopped_or_paused,425,500,425,0,,,,"[1, 50, 100, 250]","[0, 1, 50, 100, 250]",133.42409874266014,20,"{""run_stopped_by_user.json"": ""stopped_by_user""}",2026-09-06T22:42:42.116588+00:00,27977035,75
s-pg-s42,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/s-pg-s42,sampled_reverse_kl,,domain_response,42,incomplete_on_disk,304,500,304,0,,,,"[1, 50, 100, 250]","[0, 1, 50, 100, 250]",272.6429956844986,20,{},2026-09-08T01:06:28.236140+00:00,35409377,196
s-tk-s42,slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/s-tk-s42,teacher_topk,,domain_response,42,stopped_or_paused,278,500,278,0,,,,"[1, 50, 100, 250]","[0, 1, 50, 100, 250]",143.4298167829984,20,"{""run_stopped_by_user.json"": ""stopped_by_user"", ""run_failed.json"": ""failed""}",2026-09-06T22:48:33.588898+00:00,7692005,222
m-tk64-dr-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-dr-s42,student_topk,64,domain_response,42,handed_off,136,500,136,0,,,,"[1, 50, 100, 136]","[0, 1, 50, 100]",590.2774470471777,19,{},2026-09-07T21:04:37.998556+00:00,10187944,364
m-tk64-dt-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-dt-s42,student_topk,64,domain_token,42,handed_off,151,500,151,0,,,,"[1, 50, 100, 151]","[0, 1, 50, 100]",562.9946501068771,19,{},2026-09-07T21:08:05.254279+00:00,10085321,349
m-tk64-gt-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-gt-s42,student_topk,64,global_token,42,handed_off,150,500,150,0,,,,"[1, 50, 100, 150]","[0, 1, 50, 100]",564.8327434272505,19,{},2026-09-07T21:08:10.602275+00:00,10392585,350
m-itk64-dr-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_intersection_20260907/m-itk64-dr-s42,topk_intersection,64,domain_response,42,continuation_incomplete_on_disk,221,500,221,136,137,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-dr-s42,85,[],[],156.82856458239257,20,{},2026-09-08T01:09:18.400174+00:00,17702158,279
m-itk64-dt-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_intersection_20260907/m-itk64-dt-s42,topk_intersection,64,domain_token,42,continuation_incomplete_on_disk,230,500,230,151,152,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-dt-s42,79,[],[],161.4190336044412,20,{},2026-09-08T01:08:01.144147+00:00,18897878,270
m-itk64-gt-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_intersection_20260907/m-itk64-gt-s42,topk_intersection,64,global_token,42,continuation_incomplete_on_disk,229,500,229,150,151,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-gt-s42,79,[],[],167.9826249878388,20,{},2026-09-08T01:09:33.484181+00:00,19382472,271
s-tk64-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_single_20260907_launch/s-tk64-s42,student_topk,64,domain_response,42,stopped_or_paused,100,500,100,0,,,,"[1, 50, 100]","[0, 1, 50, 100]",492.1507859970443,19,"{""run_stopped_by_user.json"": ""paused""}",2026-09-07T20:32:55.060139+00:00,6564124,400
s-itk64-s42,slime_opd_geometry/outputs/mopd_qwen3/student_top64_single_intersection_20260907/s-itk64-s42,topk_intersection,64,domain_response,42,continuation_incomplete_on_disk,157,500,157,100,101,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_single_20260907_launch/s-tk64-s42,57,[],[],207.22376101200098,20,{},2026-09-08T01:07:07.328140+00:00,11832457,343
