job,kind,state,source,domain,mean_length,covariance_correction_l2,relative_residual
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,math,512.0,0.0,0.0
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,code,364.5,4.531984479567254,4.8967119357915515e-17
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,if,386.3333333333333,13.58785520208194,1.4488113730279537e-16
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,science,512.0,0.0,0.0
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,math,748.0,0.6241655740416387,4.762730231320748e-17
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,code,364.5,4.529641949958225,4.807609876660824e-17
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,if,1091.5,27.131326745892288,1.7867663512350388e-16
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,science,1740.5,0.832428604041755,4.791308455669626e-17
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,math,512.0,0.0,0.0
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,code,512.0,0.0,0.0
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,if,300.0,38.03564405020155,1.0325998820424655e-16
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,science,512.0,0.0,0.0
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,math,512.0,0.0,0.0
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,code,373.5,5.23002019966817,5.0035754092319647e-17
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,if,464.0,1.4214466726387922,4.6025350067328586e-17
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,science,512.0,0.0,0.0
normalization-m-pg500-draw42,normalization,m-pg500,raw/normalization-m-pg500-draw42/measurements.json,math,512.0,0.0,0.0
normalization-m-pg500-draw42,normalization,m-pg500,raw/normalization-m-pg500-draw42/measurements.json,code,364.5,4.529171036270078,4.84375601171177e-17
normalization-m-pg500-draw42,normalization,m-pg500,raw/normalization-m-pg500-draw42/measurements.json,if,323.5,19.152774342029343,6.116182533176972e-17
normalization-m-pg500-draw42,normalization,m-pg500,raw/normalization-m-pg500-draw42/measurements.json,science,512.0,0.0,0.0
normalization-m-pg500-draw43,normalization,m-pg500,raw/normalization-m-pg500-draw43/measurements.json,math,512.0,0.0,0.0
normalization-m-pg500-draw43,normalization,m-pg500,raw/normalization-m-pg500-draw43/measurements.json,code,417.5,2.817635420868315,4.870985753723323e-17
normalization-m-pg500-draw43,normalization,m-pg500,raw/normalization-m-pg500-draw43/measurements.json,if,512.0,0.0,0.0
normalization-m-pg500-draw43,normalization,m-pg500,raw/normalization-m-pg500-draw43/measurements.json,science,512.0,0.0,0.0
normalization-m-pg500-draw42-quota1234-prompt,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-prompt/measurements.json,math,512.0,0.0,0.0
normalization-m-pg500-draw42-quota1234-prompt,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-prompt/measurements.json,code,364.5,4.529477419673834,4.8353396702821546e-17
normalization-m-pg500-draw42-quota1234-prompt,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-prompt/measurements.json,if,386.3333333333333,13.594949804671241,1.4432409580622568e-16
normalization-m-pg500-draw42-quota1234-prompt,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-prompt/measurements.json,science,512.0,0.0,0.0
