job,kind,state,source,response,domain,length,truncated,DR,DT,GT
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,0,math,512,True,0.25,0.25,0.11510791366906475
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,1,code,443,False,0.125,0.151920438957476,0.0995953237410072
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,2,code,286,False,0.125,0.09807956104252401,0.06429856115107914
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,3,if,512,True,0.08333333333333333,0.11044003451251079,0.11510791366906475
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,4,if,135,False,0.08333333333333333,0.02911993097497843,0.03035071942446043
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,5,if,512,True,0.08333333333333333,0.11044003451251079,0.11510791366906475
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,6,science,512,True,0.0625,0.0625,0.11510791366906475
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,7,science,512,True,0.0625,0.0625,0.11510791366906475
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,8,science,512,True,0.0625,0.0625,0.11510791366906475
normalization-m-pg500-draw42-quota1234-uniform,normalization,m-pg500,raw/normalization-m-pg500-draw42-quota1234-uniform/measurements.json,9,science,512,True,0.0625,0.0625,0.11510791366906475
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,0,math,691,False,0.125,0.11547459893048129,0.08759031562935733
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,1,math,805,False,0.125,0.1345254010695187,0.10204081632653061
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,2,code,443,False,0.125,0.151920438957476,0.05615413867410318
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,3,code,286,False,0.125,0.09807956104252401,0.036253010520978575
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,4,if,2048,True,0.125,0.23453962437013284,0.2596019774369375
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,5,if,135,False,0.125,0.015460375629867155,0.01711243503612625
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,6,science,2048,True,0.125,0.14708417121516806,0.2596019774369375
normalization-m-pg500-draw42-long2048,normalization,m-pg500,raw/normalization-m-pg500-draw42-long2048/measurements.json,7,science,1433,False,0.125,0.10291582878483195,0.18164532893902902
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,0,math,512,True,0.125,0.125,0.1394335511982571
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,1,math,512,True,0.125,0.125,0.1394335511982571
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,2,code,512,True,0.125,0.125,0.1394335511982571
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,3,code,512,True,0.125,0.125,0.1394335511982571
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,4,if,512,True,0.125,0.21333333333333335,0.1394335511982571
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,5,if,88,False,0.125,0.03666666666666667,0.023965141612200435
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,6,science,512,True,0.125,0.125,0.1394335511982571
normalization-m-pg250-draw42,normalization,m-pg250,raw/normalization-m-pg250-draw42/measurements.json,7,science,512,True,0.125,0.125,0.1394335511982571
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,0,math,512,True,0.125,0.125,0.13752350255170562
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,1,math,512,True,0.125,0.125,0.13752350255170562
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,2,code,235,False,0.125,0.07864792503346721,0.0631211388665055
normalization-m-pg250-draw43,normalization,m-pg250,raw/normalization-m-pg250-draw43/measurements.json,3,code,512,True,0.125,0.1713520749665328,0.13752350255170562
