job,kind,state,source,left,right,full_vocab_js
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,math,student,0.07767347741616036
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,code,student,0.08295398114741252
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,if,student,0.07202940120441047
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,science,student,0.07984573534045669
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,math,code,0.001252587270290981
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,math,if,0.0024708453734342676
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,math,science,0.002135273998809814
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,code,if,0.005648423550416672
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,code,science,0.0005555575689617448
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,if,science,0.006502981035968841
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,math,student,0.05733212709124994
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,code,student,0.0607738399140026
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,if,student,0.061508369113412835
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,science,student,0.06699515123280855
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,math,code,0.003635038958595084
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,math,if,0.007869762195945979
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,math,science,0.006304502080644266
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,code,if,0.006886526719702753
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,code,science,0.01131193584142044
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,if,science,0.014720750126949787
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,math,student,0.029875054021548123
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,code,student,0.028676994814963892
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,if,student,0.029380587865841048
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,science,student,0.030106228167284067
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,math,code,0.002891650849644184
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,math,if,0.007215077008651467
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,math,science,0.0012179591427120497
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,code,if,0.012455740972824415
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,code,science,0.003742372765966495
density-m-pg500-draw44,density,m-pg500,raw/density-m-pg500-draw44/measurements.json,if,science,0.009523284540303004
