family,subject,attempt,step,dataset,domain,score,recomputed_score,truncation_rate,response_length,completed_at_utc,verified,checks,metric,source,reward_evidence,prompts,samples_per_prompt,selected,training_phase,domain_training_prompts,generated_tokens
initial_student,initial_student,formal_20260906__initial_student__capability_eval__step_0,0,gpqa_diamond_avg4,science,0.18813131313131312,0.18813131313131312,0.0012626262626262627,409.0820707070707,2026-09-06T08:55:23.739419+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/gpqa_diamond_avg4_rewards.json,198,4,True,reference,,
initial_student,initial_student,formal_20260906__initial_student__capability_eval__step_0,0,ifbench_strict,if,0.17333333333333334,0.17333333333333334,0.6966666666666667,22915.806666666667,2026-09-06T08:55:23.739419+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/ifbench_strict_rewards.json,300,1,True,reference,,
initial_student,initial_student,formal_20260906__initial_student__capability_eval__step_0,0,livecodebench_postcutoff_pass1,code,0.0078125,0.0078125,0.7578125,24561.796875,2026-09-06T08:55:23.739419+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/livecodebench_postcutoff_pass1_rewards.json,128,1,True,reference,,
initial_student,initial_student,formal_20260906__initial_student__capability_eval__step_0,0,math500_pass1,math,0.556,0.556,0.062,2487.934,2026-09-06T08:55:23.739419+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__initial_student__capability_eval__step_0/math500_pass1_rewards.json,500,1,True,reference,,
teacher_code,teacher_code,formal_20260906__teacher_code__capability_eval__step_0,0,livecodebench_postcutoff_pass1,code,0.234375,0.234375,0.2421875,7946.453125,2026-09-06T08:00:47.607947+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/formal_20260906__teacher_code__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__teacher_code__capability_eval__step_0/livecodebench_postcutoff_pass1_rewards.json,128,1,True,reference,,
teacher_if,teacher_if,formal_20260906__teacher_if__capability_eval__step_0,0,ifbench_strict,if,0.29,0.29,0.07333333333333333,2722.0833333333335,2026-09-06T07:18:02.236485+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/formal_20260906__teacher_if__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__teacher_if__capability_eval__step_0/ifbench_strict_rewards.json,300,1,True,reference,,
teacher_math,teacher_math,formal_20260906__teacher_math__capability_eval__step_0,0,math500_pass1,math,0.756,0.756,0.068,3082.582,2026-09-06T07:47:27.402943+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/formal_20260906__teacher_math__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__teacher_math__capability_eval__step_0/math500_pass1_rewards.json,500,1,True,reference,,
teacher_science,teacher_science,formal_20260906__teacher_science__capability_eval__step_0,0,gpqa_diamond_avg4,science,0.34595959595959597,0.34595959595959597,0.005050505050505051,2304.875,2026-09-06T09:23:27.142888+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/formal_20260906__teacher_science__capability_eval__step_0/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/formal_20260906__teacher_science__capability_eval__step_0/gpqa_diamond_avg4_rewards.json,198,4,True,reference,,
m-itk64-dr-s42,m-itk64-dr-s42-step100-code_science,intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-code_science__capability_eval__step_100,100,gpqa_diamond_avg4,science,0.15404040404040403,0.15404040404040403,0.025252525252525252,2463.5416666666665,2026-09-08T05:52:13.665401+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-code_science__capability_eval__step_100/gpqa_diamond_avg4_rewards.json,198,4,True,student_topk,1600,6778500
m-itk64-dr-s42,m-itk64-dr-s42-step100-code_science,intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-code_science__capability_eval__step_100,100,livecodebench_postcutoff_pass1,code,0.015625,0.015625,0.28125,14132.9765625,2026-09-08T05:52:13.665401+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-code_science__capability_eval__step_100/livecodebench_postcutoff_pass1_rewards.json,128,1,True,student_topk,1600,6778500
m-itk64-dr-s42,m-itk64-dr-s42-step100-math_if,intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-math_if__capability_eval__step_100,100,ifbench_strict,if,0.18666666666666668,0.18666666666666668,0.7233333333333334,23731.63,2026-09-08T11:37:56.099731+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-math_if__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-math_if__capability_eval__step_100/ifbench_strict_rewards.json,300,1,True,student_topk,1600,6778500
m-itk64-dr-s42,m-itk64-dr-s42-step100-math_if,intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-math_if__capability_eval__step_100,100,math500_pass1,math,0.57,0.57,0.082,3219.942,2026-09-08T11:37:56.099731+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/math500_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-math_if__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dr-s42-step100-math_if__capability_eval__step_100/math500_pass1_rewards.json,500,1,True,student_topk,1600,6778500
m-itk64-dt-s42,m-itk64-dt-s42-step100-code_science,intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-code_science__capability_eval__step_100,100,gpqa_diamond_avg4,science,0.18055555555555555,0.18055555555555555,0.0012626262626262627,1075.4078282828282,2026-09-08T03:53:09.650221+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/gpqa_diamond_avg4,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-code_science__capability_eval__step_100/gpqa_diamond_avg4_rewards.json,198,4,True,student_topk,1600,5987129
m-itk64-dt-s42,m-itk64-dt-s42-step100-code_science,intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-code_science__capability_eval__step_100,100,livecodebench_postcutoff_pass1,code,0.09375,0.09375,0.2265625,7763.0234375,2026-09-08T03:53:09.650221+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/livecodebench_postcutoff_pass1,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-code_science__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-code_science__capability_eval__step_100/livecodebench_postcutoff_pass1_rewards.json,128,1,True,student_topk,1600,5987129
m-itk64-dt-s42,m-itk64-dt-s42-step100-math_if,intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-math_if__capability_eval__step_100,100,ifbench_strict,if,0.19666666666666666,0.19666666666666666,0.7133333333333334,23409.476666666666,2026-09-08T11:02:07.357566+00:00,True,"{""artifact_sha256"": true, ""counts"": true, ""checkpoint_step"": true, ""terminal_status"": true, ""legal_rewards"": true, ""raw_scalar_matches"": true}",eval/capability/ifbench_strict,"{""file"": ""raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-math_if__capability_eval__step_100/eval.jsonl.gz"", ""line"": 1}",raw/evaluation/intersection100_capability_20260908_sn4622122392__m-itk64-dt-s42-step100-math_if__capability_eval__step_100/ifbench_strict_rewards.json,300,1,True,student_topk,1600,5987129
