run,checkpoint_step,domain,status,score,training_phase
m-pg-s42,100,math,verified,0.554,sampled_reverse_kl
m-pg-s42,100,code,verified,0.09375,sampled_reverse_kl
m-pg-s42,100,if,verified,0.13666666666666666,sampled_reverse_kl
m-pg-s42,100,science,verified,0.23232323232323232,sampled_reverse_kl
m-pg-s42,250,math,verified,0.662,sampled_reverse_kl
m-pg-s42,250,code,verified,0.1875,sampled_reverse_kl
m-pg-s42,250,if,verified,0.11666666666666667,sampled_reverse_kl
m-pg-s42,250,science,verified,0.2474747474747475,sampled_reverse_kl
m-pg-s42,500,math,verified,0.664,sampled_reverse_kl
m-pg-s42,500,code,verified,0.1328125,sampled_reverse_kl
m-pg-s42,500,if,verified,0.14666666666666667,sampled_reverse_kl
m-pg-s42,500,science,verified,0.24873737373737373,sampled_reverse_kl
s-pg-s42,100,math,verified,0.588,sampled_reverse_kl
s-pg-s42,100,code,verified,0.1171875,sampled_reverse_kl
s-pg-s42,100,if,verified,0.13333333333333333,sampled_reverse_kl
s-pg-s42,100,science,verified,0.24242424242424243,sampled_reverse_kl
s-pg-s42,250,math,verified,0.662,sampled_reverse_kl
s-pg-s42,250,code,verified,0.2109375,sampled_reverse_kl
s-pg-s42,250,if,verified,0.12333333333333334,sampled_reverse_kl
s-pg-s42,250,science,verified,0.2058080808080808,sampled_reverse_kl
s-pg-s42,500,math,not_available_in_local_snapshot,,
s-pg-s42,500,code,not_available_in_local_snapshot,,
s-pg-s42,500,if,not_available_in_local_snapshot,,
s-pg-s42,500,science,not_available_in_local_snapshot,,
m-itk64-dr-s42,100,math,verified,0.57,student_topk
m-itk64-dr-s42,100,code,verified,0.015625,student_topk
m-itk64-dr-s42,100,if,verified,0.18666666666666668,student_topk
m-itk64-dr-s42,100,science,verified,0.15404040404040403,student_topk
m-itk64-dr-s42,250,math,not_available_in_local_snapshot,,
m-itk64-dr-s42,250,code,verified,0.0625,mixed_student_topk_then_intersection
m-itk64-dr-s42,250,if,not_available_in_local_snapshot,,
m-itk64-dr-s42,250,science,verified,0.16792929292929293,mixed_student_topk_then_intersection
m-itk64-dr-s42,500,math,not_available_in_local_snapshot,,
m-itk64-dr-s42,500,code,not_available_in_local_snapshot,,
m-itk64-dr-s42,500,if,not_available_in_local_snapshot,,
m-itk64-dr-s42,500,science,not_available_in_local_snapshot,,
m-itk64-dt-s42,100,math,verified,0.636,student_topk
m-itk64-dt-s42,100,code,verified,0.09375,student_topk
m-itk64-dt-s42,100,if,verified,0.19666666666666666,student_topk
m-itk64-dt-s42,100,science,verified,0.18055555555555555,student_topk
m-itk64-dt-s42,250,math,not_available_in_local_snapshot,,
m-itk64-dt-s42,250,code,verified,0.109375,mixed_student_topk_then_intersection
m-itk64-dt-s42,250,if,not_available_in_local_snapshot,,
m-itk64-dt-s42,250,science,verified,0.19696969696969696,mixed_student_topk_then_intersection
m-itk64-dt-s42,500,math,not_available_in_local_snapshot,,
m-itk64-dt-s42,500,code,not_available_in_local_snapshot,,
m-itk64-dt-s42,500,if,not_available_in_local_snapshot,,
m-itk64-dt-s42,500,science,not_available_in_local_snapshot,,
m-itk64-gt-s42,100,math,verified,0.65,student_topk
m-itk64-gt-s42,100,code,verified,0.03125,student_topk
m-itk64-gt-s42,100,if,verified,0.19333333333333333,student_topk
m-itk64-gt-s42,100,science,verified,0.19823232323232323,student_topk
m-itk64-gt-s42,250,math,not_available_in_local_snapshot,,
m-itk64-gt-s42,250,code,verified,0.078125,mixed_student_topk_then_intersection
m-itk64-gt-s42,250,if,not_available_in_local_snapshot,,
m-itk64-gt-s42,250,science,verified,0.2032828282828283,mixed_student_topk_then_intersection
m-itk64-gt-s42,500,math,not_available_in_local_snapshot,,
m-itk64-gt-s42,500,code,not_available_in_local_snapshot,,
m-itk64-gt-s42,500,if,not_available_in_local_snapshot,,
m-itk64-gt-s42,500,science,not_available_in_local_snapshot,,
s-itk64-s42,100,math,verified,0.442,student_topk
s-itk64-s42,100,code,verified,0.0,student_topk
s-itk64-s42,100,if,verified,0.19,student_topk
s-itk64-s42,100,science,verified,0.18686868686868688,student_topk
s-itk64-s42,250,math,not_available_in_local_snapshot,,
s-itk64-s42,250,code,not_available_in_local_snapshot,,
s-itk64-s42,250,if,not_available_in_local_snapshot,,
s-itk64-s42,250,science,not_available_in_local_snapshot,,
s-itk64-s42,500,math,not_available_in_local_snapshot,,
s-itk64-s42,500,code,not_available_in_local_snapshot,,
s-itk64-s42,500,if,not_available_in_local_snapshot,,
s-itk64-s42,500,science,not_available_in_local_snapshot,,
