id,label,source,wandb_id,wandb_url,loss,parent_run,first_intersection_update,inherited_updates,complete_on_disk,allocation_has_contiguous_history
m-pg-s42,Joint PG,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/m-pg-s42,yyiebkcr,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/yyiebkcr,sampled_reverse_kl,,,0,True,True
s-pg-s42,Math-only PG,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/formal_20260906/s-pg-s42,01nt44di,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/01nt44di,sampled_reverse_kl,,,0,True,True
m-tk64-dr-s42,Joint Student64 · DR,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-dr-s42,tehhenj8,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/tehhenj8,student_topk,,,0,False,True
m-tk64-dt-s42,Joint Student64 · DT,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-dt-s42,slophemo,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/slophemo,student_topk,,,0,False,True
m-tk64-gt-s42,Joint Student64 · GT,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_20260907/m-tk64-gt-s42,iruwlgrt,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/iruwlgrt,student_topk,,,0,False,True
s-tk64-s42,Math-only Student64,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_single_20260907_launch/s-tk64-s42,u6undv1s,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/u6undv1s,student_topk,,,0,False,True
m-itk64-dr-s42,Joint Student64 → I64 · DR,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_intersection_20260907/m-itk64-dr-s42,pb1h4qky,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/pb1h4qky,topk_intersection,m-tk64-dr-s42,137,136,False,True
m-itk64-dt-s42,Joint Student64 → I64 · DT,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_intersection_20260907/m-itk64-dt-s42,kw8c7z9u,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/kw8c7z9u,topk_intersection,m-tk64-dt-s42,152,151,False,True
m-itk64-gt-s42,Joint Student64 → I64 · GT,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_intersection_20260907/m-itk64-gt-s42,17966wnv,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/17966wnv,topk_intersection,m-tk64-gt-s42,151,150,False,True
s-itk64-s42,Math-only Student64 → I64,/workspace/dev/iclr2027/slime_opd_geometry/outputs/mopd_qwen3/student_top64_single_intersection_20260907/s-itk64-s42,8xjhzi9z,https://wandb.ai/zsqzz/iclr2027-mopd-dynamics/runs/8xjhzi9z,topk_intersection,s-tk64-s42,101,100,False,True
